Site,UniqueID,Site list,Map Tool Grade Levels,Geographic Region,Construction Year,decade,Square Feet,FCI,FCI Rating,Current Utilization,Utilization Categories,2023-2024,Outdoor spaces ,Add 1 Year,Add 1 Area,Add 2 Year,Add 2 Area,Add 3 Year,Add 3 Area,Add 4 Year,Add 4 Area,Add 5 Year,Add 5 Area,Addition area,Number of additions,Available Acreage
185,6c5ffce9,Gaenslen,K-8,East,1988,1980,"227,935",0.084,Good,99.56%,Good,677,"Age-appropriate playground, Outdoor classroom, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,4.304
343,f4d02159,Story,K-8,Central,1935,1930,"60,660",0.171,Fair,99.23%,Good,385,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom, Edible Garden",1971,0,0,0,0,0,0,0,0,0,0,0,2.413
116,e14402b0,Congress,K-8,Northwest,1960,1960,"62,994",0.039,Great,99.15%,Good,699,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",2005,20915,0,0,0,0,0,0,0,0,20915,1,4.366
193,f2cc4646,Grant,K-8,Southwest,1913,1910,"92,467",0.01,Great,99.15%,Good,582,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface",2003,15013,0,0,0,0,0,0,0,0,15013,1,3.44
173,916aac18,Forest Home,Elementary School,Southwest,1907,1900,"91,047",0.18,Fair,98.35%,Good,537,"Age-appropriate playground, Basketball court, Hardscape surface",1966,0,0,0,0,0,0,0,0,0,0,0,3.21
3,0929873c,MacDowell Montessori,High School,Central,1933,1930,"225,410",0.043,Great,97.62%,Good,860,"Age-appropriate playground, Baseball field, Grass field, Tennis court, Hardscape surface, Outdoor classroom, Edible Garden",1975,0,0,0,0,0,0,0,0,0,0,0,4.446
67,6590b4fc,Golda Meir School,High School,East,1992,1990,"233,184",0.036,Great,96.84%,Good,980,"Age-appropriate playground, Basketball court, Soccer, Outdoor track, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,0.438
265,0145457e,Manitoba,K-8,Southwest,1940,1940,"68,300",0.167,Fair,96.32%,Good,445,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",1950,0,1962,0,0,0,0,0,0,0,0,0,10.358
232,20d76d5c,Kagel,K-8,Southwest,1891,1890,"52,519",0.01,Great,95.36%,Good,267,"Age-appropriate playground, Basketball court, Soccer, Hardscape surface, Outdoor classroom",1917,5797,0,0,0,0,0,0,0,0,5797,1,3.524
50,f7389d24,Hayes Bilingual,K-8,Southwest,1927,1920,"127,309",0.087,Good,94.10%,Good,638,"Age-appropriate playground, Basketball court, Soccer, Softball, Football, Hardscape surface, Outdoor classroom",1957,19247,0,0,0,0,0,0,0,0,19247,1,3.039
98,62bdaf26,Burdick,K-8,East,1925,1920,"73,100",0.04,Great,92.87%,Good,495,"Age-appropriate playground, Basketball court, Grass field, Softball, Hardscape surface, Outdoor classroom, Edible Garden",1950,0,0,0,0,0,0,0,0,0,0,0,2.792
212,a14da830,Hawthorne,Elementary School,Northwest,1965,1960,"37,900",0.076,Good,92.83%,Good,285,"Age-appropriate playground, Basketball court, Grass field, Multi-sport Field",0,0,0,0,0,0,0,0,0,0,0,0,4.103
150,077d20cc,Emerson,Elementary School,Northwest,1959,1950,"37,439",0.266,Fair,92.24%,Good,202,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,2.463
71,1a82065a,Milw School of Languages,High School,Northwest,1956,1950,"156,816",0.02,Great,92.15%,Good,951,"Basketball court, Soccer, Volleyball, Hardscape surface, Outdoor classroom",1999,17800,0,0,0,0,0,0,0,0,17800,1,6.909
