Site,UniqueID,Site list,Map Tool Grade Levels,Geographic Region,Construction Year,decade,Square Feet,FCI,FCI Rating,Current Utilization,Utilization Categories,2023-2024,Outdoor spaces ,Add 1 Year,Add 1 Area,Add 2 Year,Add 2 Area,Add 3 Year,Add 3 Area,Add 4 Year,Add 4 Area,Add 5 Year,Add 5 Area,Addition area,Number of additions,Available Acreage
45,e1a08603,Morse MS,Middle School,Northwest,1967,1960,"185,914",0.132,Fair,41.11%,Very Low,416,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,9.65
312,27aafe34,Starms Discovery,K-8,Central,1991,1990,"73,556",0.3,Fair,39.86%,Very Low,230,"Age-appropriate playground, Basketball court, Grass field, Soccer, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,5.365
110,f524b142,Clarke,K-8,central,1902,1900,"85,533",0.004,Great,39.82%,Very Low,223,"Age-appropriate playground, Basketball court, Grass field, Soccer, Hardscape surface, Outdoor classroom",2003,24989,0,0,0,0,0,0,0,0,24989,1,3.578
77,79afeca3,Auer,Elementary School,Central,1903,1900,"68,758",0.008,Great,39.04%,Very Low,187,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",1967,0,0,0,0,0,0,0,0,0,0,0,9.942
61,ebb631e2,Jackson,Elementary School,Central,1978,1970,"77,715",0.01,Great,38.57%,Very Low,216,"Age-appropriate playground, Basketball court, Hardscape surface",0,0,0,0,0,0,0,0,0,0,0,0,3.713
24,6912483a,Groppi HS,High School,Central,1893,1890,"72,392",0.112,Fair,37.92%,Very Low,102,,0,0,0,0,0,0,0,0,0,0,0,0,8.384
51,a8b6339d,Transition HS,High School,Central,1926,1920,"46,690",0.031,Great,37.45%,Very Low,88,"Basketball court, Grass field, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,4.468
53,bc2dfc8f,Westside,Elementary School,Central,1895,1890,"72,933",0.003,Great,36.94%,Very Low,157,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,8.192
22,b7efe5b7,Madison HS,High School,Northwest,1966,1960,"302,797",0.1,Good,36.77%,Very Low,595,"Basketball court, Baseball field, Grass field, Soccer, Football, Multi-sport Field, Outdoor track, Outdoor classroom, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,10.321
319,2df6b103,Sherman Arts,K-8,Central,1925,1920,"112,478",0.061,Good,34.33%,Very Low,242,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",2003,26138,0,0,0,0,0,0,0,0,26138,1,3.556
322,fd3417dd,Siefert,Elementary School,Central,1903,1900,"77,265",1,,33.70%,Very Low,216,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom, Edible Garden",1957,0,0,0,0,0,0,0,0,0,0,0,3.056
205,27a6343c,Hampton,Elementary School,Northwest,1939,1930,"81,998",0.139,Fair,33.19%,Very Low,150,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Hardscape surface, Outdoor classroom",1940,25798,1962,5040,1964,12664,1965,1200,1969,476,45178,5,10.113
6,d62a3955,Lincoln Center Arts MS,Middle School,East,1928,1920,"221,154",0.065,Good,32.39%,Very Low,308,"Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,1.467
89,442e469a,Brown,Elementary School,Central,1882,1880,"110,514",0.184,Fair,32.33%,Very Low,204,"Age-appropriate playground, Basketball court, Grass field, Hardscape surface, Outdoor classroom",1913,0,1932,0,1958,0,1989,0,0,0,0,0,2.158
35,d672a94c,WHS-lnformation Technology,High School,Central,1916,1910,"450,331",0,Great,29.29%,Very Low,379,"Basketball court, Grass field, Soccer, Football, Multi-sport Field, Outdoor track, Outdoor classroom",1969,0,1982,0,0,0,0,0,0,0,0,0,6.711
217,126fe9d4,Hi-Mount,K-8,Central,1914,1910,"110,971",0.021,Great,28.26%,Very Low,143,"Age-appropriate playground, Hardscape surface",2005,31171,0,0,0,0,0,0,0,0,31171,1,3.039
48,92cbd0b9,King IB MS,Middle School,East,1961,1960,"149,450",0.032,Great,26.96%,Very Low,210,"Grass field, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,3.303
59,3ace0101,Roosevelt Arts MS,Middle School,East,1926,1920,"175,372",0.104,Fair,24.17%,Very Low,225,,2000,52172,0,0,0,0,0,0,0,0,52172,1,6.21
235,7337c5a3,Keefe,Elementary School,Central,1917,1910,"99,300",0.092,Good,23.83%,Very Low,127,"Basketball court, Hardscape surface, Outdoor classroom",1930,22332,1961,19289,0,0,0,0,0,0,41621,2,4.059
220,15c0d5c0,Hopkins Lloyd,Elementary School,Central,1894,1890,"87,114",0.11,Fair,20.85%,Very Low,128,"Age-appropriate playground, Basketball court, Hardscape surface",1915,22247,1952,4224,1963,23299,0,0,0,0,49770,3,2.096
55,058e86b3,Andrew Douglas MS,Middle School,Central,1968,1960,"218,300",0.05,Great,8.86%,Very Low,106,"Age-appropriate playground, Basketball court, Outdoor track, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,4.393
